region_name,allele,frequency
AS1,185,0.003512293
AS1,179,0.057200201
AS1,167,0.003010537
AS1,164,0.002508781
AS1,173,0.73306573
AS1,182,0.002007025
AS1,176,0.198193678
AS1,170,0.000501756
AS11,146,0.000458295
AS11,172,0.010999083
AS11,149,0.003208066
AS11,144,0.00091659
AS11,181,0
AS11,153,0.027497709
AS11,156,0.184234647
AS11,168,0.043538038
AS11,165,0.262144821
AS11,159,0.036205316
AS11,175,0.003208066
AS11,162,0.427589368
AS12,143,0.001405811
AS12,155,0.014995314
AS12,162,0.336457357
AS12,168,0.010777882
AS12,165,0.617619494
AS12,140,0.000937207
AS12,159,0
AS12,171,0.005623243
AS12,152,0.012183693
AS13,201,0.001925855
AS13,198,0.002407318
AS13,178,0.0158883
AS13,184,0.3298026
AS13,174,0.014925373
AS13,192,0.006740491
AS13,181,0.002888782
AS13,187,0.590274434
AS13,206,0.017332691
AS13,195,0.007221955
AS13,190,0.010110737
AS13,171,0.000481464
AS14,212,0.185852373
AS14,209,0.085237258
AS14,224,0.024165202
AS14,227,0.007908612
AS14,197,0.041300527
AS14,192,0.002636204
AS14,230,0.007029877
AS14,200,0.015817223
AS14,218,0.026801406
AS14,187,0.014499121
AS14,203,0.01801406
AS14,206,0.425746924
AS14,195,0.005711775
AS14,233,0.00483304
AS14,221,0.050966608
AS14,215,0.083479789
AS15,146,0.003491925
AS15,143,0.016150153
AS15,122,0.209951986
AS15,134,0.094718464
AS15,128,0.153644697
AS15,149,0.002618944
AS15,119,0.054997818
AS15,131,0.124836316
AS15,115,0.025752946
AS15,125,0.219118289
AS15,153,0.003491925
AS15,156,0.023134003
AS15,137,0.04975993
AS15,140,0.013094718
AS15,112,0.005237887
AS19,146,0.004310345
AS19,143,0.000478927
AS19,185,0.04789272
AS19,140,0.004789272
AS19,179,0.537835249
AS19,173,0.003831418
AS19,160,0.007183908
AS19,182,0.245689655
AS19,136,0.007662835
AS19,153,0.001436782
AS19,176,0.008141762
AS19,157,0.022509579
AS19,133,0
AS19,188,0.006704981
AS19,166,0.101532567
AS2,201,0.057959184
AS2,198,0.144081633
AS2,180,0.00122449
AS2,112,0.001632653
AS2,155,0.019591837
AS2,174,0.00122449
AS2,164,0.006938776
AS2,186,0.044081633
AS2,195,0.310204082
AS2,183,0.02
AS2,189,0.068979592
AS2,192,0.235510204
AS2,106,0.001632653
AS2,109,0.000408163
AS2,168,0.024489796
AS2,99,0.000408163
AS2,152,0.015102041
AS2,143,0.001632653
AS2,205,0.010204082
AS2,177,0.002857143
AS2,211,0.001632653
AS2,103,0.001632653
AS2,171,0.004081633
AS2,208,0.023265306
AS2,118,0
AS2,149,0.000816327
AS2,115,0.000408163
AS20,165,1
AS21,151,0.001003512
AS21,154,0.044154541
AS21,185,0.001505268
AS21,179,0.01956849
AS21,160,0.288008028
AS21,173,0.000501756
AS21,182,0.004515805
AS21,176,0.005519318
AS21,157,0.617661816
AS21,166,0.003010537
AS21,163,0.014550928
AS25,113,0.060672196
AS25,82,0.006547359
AS25,148,0.002182453
AS25,139,0.021824531
AS25,104,0.040157137
AS25,78,0.000436491
AS25,135,0.000436491
AS25,107,0.008293322
AS25,94,0.012658228
AS25,75,0.000436491
AS25,123,0.031427324
AS25,120,0.123090354
AS25,98,0.013531209
AS25,72,0.004801397
AS25,151,0.000872981
AS25,142,0.02138804
AS25,126,0.006547359
AS25,101,0.205150589
AS25,69,0.000436491
AS25,91,0.058053252
AS25,129,0.067219555
AS25,85,0.000872981
AS25,117,0.010475775
AS25,88,0.020515059
AS25,110,0.259275426
AS25,132,0.022697512
